Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-10T08:15:00Z,9.1,9.8,204.034866333008,2021,3,10,Quarta,08:15:00,Manha,Verao
2021-03-10T08:30:00Z,9.1,10.9,175.451370239258,2021,3,10,Quarta,08:30:00,Manha,Verao
2021-03-10T08:45:00Z,9,11.2,212.770935058594,2021,3,10,Quarta,08:45:00,Manha,Verao
2021-03-10T09:00:00Z,8.8,10.6,212.877365112305,2021,3,10,Quarta,09:00:00,Manha,Verao
2021-03-10T09:15:00Z,8.7,10.7,172.425033569336,2021,3,10,Quarta,09:15:00,Manha,Verao
2021-03-10T09:30:00Z,8.7,10.6,196.172103881836,2021,3,10,Quarta,09:30:00,Manha,Verao
2021-03-10T09:45:00Z,8.2,10.5,208.347106933594,2021,3,10,Quarta,09:45:00,Manha,Verao
2021-03-10T10:00:00Z,7.6,10.2,217.362182617188,2021,3,10,Quarta,10:00:00,Manha,Verao
2021-03-10T10:15:00Z,7,9.8,204.09587097168,2021,3,10,Quarta,10:15:00,Manha,Verao
2021-03-10T10:30:00Z,6.6,9.2,208.35107421875,2021,3,10,Quarta,10:30:00,Manha,Verao
2021-03-10T10:45:00Z,7,8.4,203.991683959961,2021,3,10,Quarta,10:45:00,Manha,Verao
2021-03-10T11:00:00Z,7.2,8.8,188.767715454102,2021,3,10,Quarta,11:00:00,Manha,Verao
2021-03-10T11:15:00Z,7.4,9,204.097137451172,2021,3,10,Quarta,11:15:00,Manha,Verao
2021-03-10T11:30:00Z,7.7,9.4,204.093322753906,2021,3,10,Quarta,11:30:00,Manha,Verao
2021-03-10T11:45:00Z,7.8,9.5,204.093322753906,2021,3,10,Quarta,11:45:00,Manha,Verao
2021-03-10T12:00:00Z,7.7,9.5,192.399826049805,2021,3,10,Quarta,12:00:00,Tarde,Verao
2021-03-10T12:15:00Z,7.5,9.5,125.008110046387,2021,3,10,Quarta,12:15:00,Tarde,Verao
2021-03-10T12:30:00Z,7.3,9.6,185.273345947266,2021,3,10,Quarta,12:30:00,Tarde,Verao
2021-03-10T12:45:00Z,7,9.2,212.78337097168,2021,3,10,Quarta,12:45:00,Tarde,Verao
2021-03-10T13:00:00Z,7,9.2,222.238800048828,2021,3,10,Quarta,13:00:00,Tarde,Verao
