"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"LIGADO","RESIDENCIAL","NORMAL",611,6,"ESTIMADO","RECIFE",1,-3885907.42082436,-908553.865391876
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886277.70217867,-907956.091363931
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886580.71171754,-907986.921832072
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",613,NA,NA,"RECIFE",1,-3886276.50070741,-907950.601475543
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886275.40387646,-907945.590059607
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886274.37528437,-907940.890128764
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886273.23247848,-907935.668546203
"LIGADO","RESIDENCIAL","TARIFA SOCIAL",613,2,"REAL","RECIFE",1,-3886272.12941364,-907930.628344912
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886270.93996488,-907925.193222412
"LIGADO","RESIDENCIAL","NORMAL",613,7,"REAL","RECIFE",2,-3886269.89378431,-907920.413229831
"LIGADO","RESIDENCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886268.6304194,-907914.640535978
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886274.95659475,-907913.267868294
"LIGADO","RESIDENCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886276.25836488,-907919.216095235
"LIGADO","RESIDENCIAL","NORMAL",613,69,"REAL","RECIFE",1,-3886277.34128088,-907924.163974414
"LIGADO","RESIDENCIAL","NORMAL",613,112,"REAL","RECIFE",1,-3886278.44323252,-907929.199227209
"LIGADO","RESIDENCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886279.56266132,-907934.314207109
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",3,-3886280.68810137,-907939.456737662
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886281.74652709,-907944.29261956
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886282.89501027,-907949.54062871
"LIGADO","RESIDENCIAL","NORMAL",613,9,"REAL","RECIFE",1,-3886284.02267672,-907954.693168983
